TimeStep,Whales,Seals,Cod,Whiting,Mackerel,Anchovy,Shrimp,Benthos,Zooplankton,Phytoplankton,Detritus
1,0.09077138,0.05534428,3.006385,1.788579,1.013349,6.936712,0.8138,29.40252,12.79906,13.79956,9.231932
2,0.0908756,0.05531951,3.008476,1.791294,1.011928,6.830122,0.8169056,29.02492,17.74315,11.35166,11.67789
3,0.09098296,0.05528782,3.010251,1.793794,1.017343,6.892565,0.8181016,29.61666,19.74703,5.547891,12.38924
4,0.09108384,0.05524593,3.010646,1.795393,1.025488,7.066502,0.8160341,30.53652,14.47088,4.74056,9.870761
5,0.09117626,0.0552,3.009966,1.796286,1.027225,7.114593,0.8123605,30.61655,9.808946,7.369632,7.631216
6,0.09126811,0.05516147,3.009783,1.79746,1.022103,6.984363,0.8107372,29.70327,9.119947,12.54807,7.295133
7,0.09137299,0.05513732,3.011765,1.800255,1.016098,6.767616,0.8137276,28.52427,12.80965,16.25321,9.426929
8,0.09149358,0.05511625,3.015604,1.804111,1.01608,6.636628,0.8181757,28.2138,19.7517,11.0542,12.86745
9,0.09161522,0.05508225,3.018547,1.807193,1.025398,6.761368,0.8189071,29.24118,20.93054,2.921829,12.99389
10,0.09172681,0.05503554,3.019413,1.808955,1.03623,6.99877,0.8154125,30.39653,11.96103,3.323147,8.779699
11,0.09182845,0.05498204,3.019014,1.810309,1.03627,6.994244,0.8106045,30.09632,6.637836,6.755234,6.056358
12,0.09193448,0.05494298,3.020131,1.812661,1.028173,6.745698,0.8101174,28.43699,6.232092,14.30081,5.776627
13,0.09206977,0.05493156,3.024964,1.817469,1.021128,6.375959,0.81787,26.45941,11.02849,21.45749,8.820297
14,0.09222191,0.05492451,3.03239,1.822308,1.022062,6.140208,0.8282737,25.82052,20.52466,14.32526,14.07244
15,0.09236715,0.0548886,3.036688,1.824618,1.035287,6.285174,0.8298026,27.3103,20.32226,4.406672,13.92127
16,0.09249716,0.05483216,3.037212,1.825119,1.047927,6.530631,0.8238683,28.92515,10.59372,2.002544,8.930732
17,0.09261619,0.05477553,3.036158,1.825301,1.047628,6.487765,0.816731,28.65759,4.670391,3.275797,5.052631
18,0.09274507,0.05474367,3.037464,1.827179,1.038684,6.144177,0.816757,26.3572,2.181856,14.16699,3.312464
19,0.09289958,0.05475257,3.045267,1.831086,1.026635,5.607655,0.8298721,23.06282,3.650507,36.03138,5.789549
20,0.09305259,0.05476593,3.055712,1.83246,1.014377,5.103653,0.8457948,21.42934,13.65237,22.36451,14.52303
21,0.09319155,0.05473171,3.06113,1.829336,1.014937,4.975416,0.8477709,22.91463,15.30512,19.48964,14.06631
22,0.09331377,0.05466701,3.061604,1.82344,1.01841,5.017815,0.8396137,25.10628,16.01641,8.842945,13.58499
23,0.09342079,0.05459312,3.058742,1.816297,1.020388,5.12173,0.8271772,26.84204,14.87716,2.81727,10.60836
24,0.09352081,0.05453087,3.055143,1.809629,1.019157,5.182764,0.8171551,27.17076,8.987537,3.605611,6.802392
25,0.093619,0.05449485,3.05216,1.803293,1.009869,5.052932,0.8150067,25.63535,5.981924,7.851253,5.104957
26,0.09371214,0.05445709,3.048535,1.795767,0.9937861,4.797387,0.812816,23.33915,6.289762,21.52905,5.635532
27,0.09380606,0.05440845,3.044136,1.786693,0.9759189,4.518702,0.8068057,21.77749,11.25877,29.93071,10.50324
28,0.09389568,0.05433422,3.038234,1.775144,0.9636877,4.392693,0.7950454,22.37451,19.66632,16.90113,16.35067
29,0.09397368,0.05423579,3.02938,1.761365,0.9633766,4.553683,0.777207,24.96193,24.50544,3.887879,16.01201
30,0.09403717,0.05414161,3.018414,1.747199,0.9715811,4.913531,0.7588509,27.58856,15.38366,2.55853,10.50867
31,0.09408806,0.05405987,3.006746,1.734102,0.9690173,5.071339,0.7439448,28.27292,7.808184,3.844145,6.653316
32,0.09413421,0.05399675,2.996232,1.722323,0.953836,4.96409,0.73524,27.0126,5.431921,7.46856,4.970135
33,0.09419142,0.05395777,2.989564,1.712443,0.933745,4.698776,0.7357483,24.6061,6.395265,18.0903,5.490972
34,0.09425972,0.05393636,2.986795,1.702945,0.9147248,4.412263,0.742556,22.48778,11.80754,28.06252,9.732193
35,0.09432098,0.05388671,2.982119,1.690749,0.9032456,4.297206,0.7423048,22.6535,23.67343,16.33053,16.65324
36,0.09436703,0.0538047,2.97309,1.676036,0.9100507,4.569479,0.7326533,25.42467,23.11993,4.776056,15.763
37,0.09439778,0.0537661,2.960553,1.660933,0.9191211,4.926233,0.7216148,28.02992,14.48002,2.695885,10.48416
38,0.09441704,0.05375434,2.947387,1.647159,0.9163187,5.066081,0.7143086,28.63079,7.677587,3.818844,6.545856
39,0.09443679,0.05376852,2.936122,1.635428,0.9019142,4.951137,0.7136807,27.2169,5.353975,7.639884,4.860181
40,0.09447725,0.05381706,2.930243,1.626447,0.8840084,4.673041,0.7231978,24.55464,6.396795,17.97707,5.48408
41,0.09452818,0.05386885,2.927277,1.617302,0.8671674,4.387483,0.7349489,22.32832,11.68526,27.48976,9.644323
42,0.0945733,0.05388698,2.922179,1.605458,0.857201,4.273134,0.7383896,22.39258,21.54682,18.31442,15.8868
43,0.09460465,0.05387082,2.912848,1.591184,0.8612885,4.494936,0.7320344,24.94602,19.98938,7.905861,15.14481
44,0.09462307,0.05385017,2.901419,1.576951,0.8662239,4.759048,0.7237331,27.36155,14.58831,3.966274,10.98099
45,0.09463196,0.05384253,2.88999,1.564057,0.8641144,4.878439,0.7187313,28.0971,9.566168,4.344557,7.385386
46,0.09464268,0.05385751,2.880759,1.553266,0.8539819,4.809959,0.7201048,27.0323,6.731964,8.358994,5.633521
47,0.09467083,0.05389952,2.875939,1.544788,0.8400257,4.596143,0.7294433,24.82994,7.485529,18.48174,6.248177
48,0.09470458,0.05394004,2.872716,1.535954,0.8264281,4.377021,0.7392799,23.09577,12.65266,25.28696,10.29161
49,0.09473442,0.0540036,2.866804,1.524888,0.8192099,4.317823,0.7432978,23.36806,22.08245,14.26541,15.70398
50,0.09475411,0.05405991,2.858252,1.51235,0.8251458,4.574382,0.7416528,25.67163,20.48881,7.379823,14.22907
51,0.09476236,0.05411823,2.848367,1.500263,0.8321944,4.866795,0.7390307,27.71051,15.32974,3.833188,10.86739
52,0.09476176,0.05418699,2.838519,1.489515,0.8326455,5.018612,0.7386169,28.27504,9.492393,5.228642,7.410681
53,0.09476262,0.05428044,2.830538,1.480653,0.8247469,4.964375,0.7429028,27.17537,7.158486,9.514081,6.014863
54,0.09477957,0.05439772,2.826126,1.473735,0.8137229,4.776545,0.7530329,25.15801,8.875756,17.33772,7.033848
55,0.09480386,0.05450546,2.823362,1.466745,0.8047057,4.608029,0.7637684,23.67863,14.64433,19.49327,10.80303
56,0.0948271,0.05459674,2.819685,1.458545,0.8033884,4.61717,0.7695427,23.93793,21.77857,13.23537,14.37117
57,0.09483892,0.05465827,2.813426,1.449031,0.8119111,4.889738,0.7684826,25.81912,18.85334,8.944417,13.28634
58,0.09483938,0.0547113,2.805547,1.439737,0.8189479,5.151465,0.7647445,27.49678,14.49063,3.885878,10.8108
59,0.09483403,0.05477348,2.797949,1.431698,0.819958,5.279233,0.7631822,27.90635,9.130317,5.90881,7.238948
60,0.09483639,0.05485611,2.79271,1.425821,0.8137805,5.205227,0.7674932,26.71469,7.165317,11.15421,6.089972
61,0.09485661,0.05501882,2.789613,1.421229,0.8052391,5.008209,0.7780062,24.75238,9.592463,18.78186,7.64248
62,0.09488469,0.05519302,2.786822,1.416174,0.7996826,4.853877,0.7874796,23.59412,15.41988,18.89368,11.54597
63,0.0949117,0.05535103,2.782998,1.409938,0.8014423,4.890716,0.7922063,24.15386,21.09093,11.55109,14.27033
64,0.0949281,0.05549023,2.777393,1.402689,0.8109715,5.161756,0.7919351,25.94285,17.36421,9.646896,12.41262
65,0.09493485,0.05562431,2.770577,1.39576,0.8178464,5.390066,0.7897297,27.32276,13.24382,4.957556,10.35714
66,0.0949391,0.05576905,2.76422,1.390056,0.818873,5.476045,0.7897753,27.51488,9.387972,7.081963,7.404953
67,0.09495345,0.05593607,2.760228,1.38627,0.8146281,5.392218,0.7955077,26.34191,8.319603,11.98007,6.728076
68,0.09498438,0.05612172,2.759066,1.383794,0.8094863,5.220519,0.8064549,24.65017,11.08384,16.76921,8.453378
69,0.09501933,0.05629745,2.758038,1.380681,0.8075806,5.119237,0.8155758,23.77128,15.9767,16.48611,11.45496
70,0.09505116,0.0564481,2.75555,1.376472,0.8114653,5.19681,0.8188246,24.3437,18.97838,12.09103,13.1465
71,0.09507313,0.05657995,2.751534,1.371504,0.8193055,5.424815,0.8174029,25.78078,15.37522,9.869525,11.71045
72,0.0950876,0.05670753,2.746662,1.366859,0.8238099,5.582613,0.814441,26.7845,13.38766,5.422889,10.17916
73,0.09510253,0.05690043,2.741207,1.362849,0.8252839,5.64671,0.8140709,26.8207,9.968958,7.93788,7.615255
74,0.09512886,0.05713071,2.737477,1.360308,0.8229285,5.565588,0.8187624,25.72231,9.015196,13.79861,7.224774
75,0.09516566,0.05737491,2.735143,1.358271,0.8195516,5.416866,0.8258876,24.41936,11.79666,17.4488,9.274017
76,0.09520505,0.05760716,2.732306,1.355566,0.8194735,5.350865,0.8300762,24.07809,17.43296,12.93128,12.27537
77,0.09524234,0.05782449,2.728795,1.35221,0.826142,5.492486,0.8311868,24.93369,18.71975,10.01013,12.46355
78,0.09527114,0.05802964,2.724314,1.348529,0.8350419,5.734157,0.8294851,26.13584,14.92787,9.225554,10.94458
79,0.09529332,0.05822999,2.719082,1.345184,0.839975,5.880653,0.826356,26.80031,13.10418,5.768561,9.789778
80,0.09531686,0.05843777,2.714369,1.342772,0.841684,5.928518,0.8251248,26.63362,10.09624,8.115591,7.672231
81,0.09535398,0.05866383,2.711742,1.341877,0.8403108,5.837695,0.828971,25.49489,9.467559,13.08081,7.425741
82,0.09540045,0.05889694,2.71045,1.341292,0.8384195,5.696623,0.835264,24.22206,12.41164,17.2352,9.335898
83,0.09544821,0.05911124,2.708222,1.339999,0.8398114,5.650196,0.8373562,23.96571,17.68918,12.76523,12.36162
84,0.09549318,0.05930637,2.705088,1.338105,0.8473276,5.803039,0.8353557,24.90474,18.25396,9.443229,12.39606
85,0.09553011,0.05948864,2.699706,1.335302,0.8563113,6.028609,0.8306582,26.06588,14.5285,9.22817,10.69387
86,0.09556136,0.05966667,2.693327,1.332629,0.8611705,6.148983,0.8251911,26.63019,12.73124,5.656557,9.614654
87,0.09559599,0.05985419,2.687599,1.330837,0.8628442,6.167161,0.822619,26.36972,10.01253,8.253952,7.549412
88,0.09564476,0.06006192,2.68401,1.330383,0.8619136,6.058182,0.8259008,25.19679,9.500705,14.39795,7.426671
89,0.0957002,0.06027398,2.681299,1.329933,0.8605925,5.911836,0.8310749,24.0549,12.78652,18.75516,9.796895
90,0.09575586,0.06046736,2.677619,1.32867,0.8628628,5.874488,0.832185,24.09178,19.28824,10.97683,13.34095
91,0.09580848,0.0606443,2.673274,1.32692,0.8728054,6.079198,0.8301036,25.35691,18.50659,8.270483,12.32628
92,0.09585266,0.06081242,2.668424,1.325137,0.8828917,6.320712,0.8266615,26.50746,13.73919,8.429246,10.21789
93,0.0958908,0.060976,2.663059,1.323781,0.8869849,6.411973,0.8225905,26.83735,11.69955,5.581401,9.01244
94,0.09593324,0.0611488,2.658466,1.323271,0.8872895,6.381308,0.8212379,26.28331,9.305272,8.798759,7.150184
95,0.09599163,0.06134453,2.656177,1.323977,0.8856553,6.226995,0.826111,24.88145,9.340201,16.29812,7.395574
96,0.0960551,0.06154167,2.654406,1.324389,0.8842567,6.055735,0.8318411,23.75682,13.6959,19.66987,10.50942
97,0.09611677,0.06171338,2.64979,1.323343,0.8874673,6.035398,0.8316815,24.11539,20.82324,8.830573,14.19428
98,0.0961739,0.06186646,2.643933,1.321558,0.8993022,6.290215,0.8279175,25.68715,17.34442,7.427241,11.76574
99,0.09622245,0.06201202,2.637547,1.319785,0.9085008,6.507307,0.823447,26.709,12.01571,8.094683,9.375192
100,0.09626605,0.06215562,2.630841,1.318455,0.9103634,6.539785,0.8192022,26.71799,10.81643,6.647593,8.390853
101,0.09631832,0.06231235,2.625254,1.318159,0.9095237,6.467023,0.8186476,25.94514,9.367462,11.42404,7.241898
102,0.09638723,0.06249382,2.621975,1.318992,0.9080873,6.30515,0.8244879,24.65737,11.06261,18.51261,8.577332
103,0.09645873,0.06266814,2.618453,1.319299,0.9087276,6.187489,0.8287537,24.13075,17.17693,15.67385,12.38977
104,0.09652629,0.06281608,2.613384,1.318628,0.9162117,6.290362,0.8270977,25.12229,21.44296,5.720824,13.9865
105,0.09658789,0.06295044,2.607915,1.317734,0.9297942,6.596982,0.8234629,26.67211,14.70298,6.720073,10.32311
106,0.09664153,0.06308281,2.602505,1.317148,0.9362518,6.74157,0.820612,27.151,9.965797,7.807584,8.220082
107,0.09669523,0.0632207,2.597445,1.317176,0.9352019,6.680272,0.819607,26.57599,9.789493,8.389965,7.640828
108,0.09676654,0.06338041,2.594206,1.318506,0.9333725,6.529946,0.8238002,25.41342,9.700146,14.19606,7.541157
109,0.0968509,0.06356202,2.591271,1.319785,0.9323941,6.348687,0.8329445,24.21572,13.0781,19.6787,9.905
110,0.09693311,0.06372198,2.586398,1.319821,0.9352384,6.28685,0.8364167,24.2815,19.08981,12.47977,13.58518
111,0.09700906,0.06385374,2.579686,1.318977,0.9452657,6.469431,0.8334879,25.74166,19.21356,4.806441,12.98767
112,0.09707779,0.06397902,2.572996,1.31817,0.9570749,6.729044,0.8304529,27.03056,12.23358,6.691841,9.110556
113,0.09714157,0.06410948,2.566851,1.317908,0.9608199,6.779706,0.8298467,26.99581,8.723802,8.943708,7.4429
114,0.0972127,0.06425457,2.56176,1.318516,0.9586159,6.641889,0.8328887,26.00245,9.712001,10.96554,7.635021
115,0.09730077,0.0644233,2.558422,1.320026,0.9568948,6.461749,0.8410819,24.75525,11.14949,17.23554,8.564042
116,0.09739583,0.06459685,2.555303,1.321366,0.9573848,6.319464,0.8498592,24.06579,15.82952,16.21334,11.70862
117,0.0974844,0.06474378,2.550181,1.321405,0.9630878,6.36601,0.8519615,24.75954,19.4328,9.830274,13.32564
118,0.09756384,0.06486529,2.543504,1.320839,0.9734206,6.59834,0.8484573,26.26437,15.2264,5.314891,11.21867
119,0.09763715,0.06498504,2.537194,1.320697,0.9803886,6.745058,0.8457953,26.98933,10.05816,7.169049,8.086677
120,0.09770954,0.06511598,2.531909,1.321229,0.9805601,6.691993,0.8466939,26.42671,8.463418,9.705584,7.083196
121,0.09779664,0.06526852,2.526964,1.322296,0.9778429,6.506585,0.8525283,25.12701,10.33739,12.83805,7.847489
122,0.09789607,0.06544315,2.52307,1.323564,0.9767711,6.335597,0.8627079,23.90726,12.33651,20.75493,9.423823
123,0.09799382,0.06560145,2.517653,1.323707,0.9781348,6.245831,0.868286,23.78041,17.18553,12.99842,13.19851
124,0.09808163,0.06571674,2.509816,1.322612,0.9849817,6.359217,0.8658532,25.01928,18.49706,6.638383,12.72517
125,0.09816055,0.06581247,2.501089,1.321364,0.9945362,6.579809,0.8600064,26.30623,14.31862,5.065514,9.979239
126,0.09823444,0.06590968,2.493152,1.320707,1.00032,6.692276,0.8561256,26.55286,9.450583,8.412484,7.525021
127,0.09831044,0.06601596,2.486323,1.320741,0.9992771,6.605437,0.8555007,25.73515,8.969519,11.58996,7.397041
128,0.0983981,0.06614695,2.480887,1.321443,0.9962903,6.429381,0.8588929,24.59339,12.01948,15.02934,8.878557
129,0.09849317,0.06628742,2.475857,1.322042,0.9963552,6.322922,0.8637576,24.012,15.49014,15.84481,11.17185
130,0.09858355,0.06640348,2.469497,1.321746,1.000674,6.364082,0.8649882,24.50923,19.5761,10.5605,13.18694
131,0.09866273,0.06648991,2.461205,1.320649,1.010051,6.594813,0.859588,25.9437,17.31591,6.494862,11.94767
132,0.09873331,0.0665651,2.452563,1.319786,1.017938,6.802614,0.8525009,27.01909,11.76587,4.923519,9.142215
133,0.09880219,0.0666497,2.443939,1.319215,1.01963,6.81623,0.8493536,26.82276,8.224995,8.35522,6.815722
134,0.09888081,0.06675451,2.436874,1.319518,1.016265,6.642993,0.8522893,25.5237,8.115803,12.72596,6.855597
135,0.09897556,0.06688412,2.431598,1.320423,1.012033,6.398682,0.8615331,23.96646,11.61729,19.15172,8.844363
136,0.09907115,0.06700838,2.4256,1.320367,1.010663,6.262595,0.8689561,23.444,16.13473,19.16004,12.31571
137,0.09915937,0.06710387,2.417334,1.319013,1.014833,6.319226,0.8688356,24.54298,21.4345,7.765316,14.8086
138,0.09923572,0.06717827,2.407541,1.317167,1.026402,6.616933,0.8637941,26.53861,16.61948,5.495147,11.49167
139,0.0993032,0.06725152,2.39798,1.315963,1.034138,6.82009,0.8593689,27.5402,10.96574,4.921354,8.521008
140,0.09937015,0.06733883,2.390119,1.315797,1.034598,6.804453,0.8594697,27.06484,7.713696,8.612813,6.49768
141,0.09944964,0.06745016,2.384508,1.316798,1.029924,6.602325,0.8661185,25.50468,8.144667,14.54595,6.826621
142,0.09954404,0.06759685,2.380495,1.318289,1.024794,6.35051,0.8785864,23.89051,12.33637,20.06672,9.496435
143,0.09963795,0.06773262,2.375139,1.318538,1.023537,6.236349,0.886919,23.61174,17.78696,16.4646,13.16042
144,0.09972262,0.06782698,2.367404,1.317456,1.029181,6.354953,0.8866311,24.9687,21.18175,7.480056,14.31769
145,0.09979474,0.06789763,2.356916,1.315461,1.040764,6.660953,0.881202,26.89612,15.6179,4.813004,11.05351
146,0.09985912,0.06796908,2.346578,1.314096,1.047323,6.8332,0.8770225,27.6733,10.03234,5.205177,7.949884
147,0.0999264,0.06805919,2.338234,1.313913,1.046255,6.775765,0.8786216,26.90813,7.221157,9.460518,6.235854
148,0.1000093,0.06817704,2.332258,1.314876,1.040508,6.542771,0.8877172,25.15118,8.343936,15.16138,6.99286
149,0.1001042,0.06832402,2.327103,1.315813,1.034974,6.291985,0.9012552,23.5548,13.15903,19.7134,9.903158
150,0.1001968,0.06844037,2.319948,1.315404,1.03431,6.208068,0.9082602,23.44635,17.54657,16.97286,13.12298
151,0.1002784,0.06851992,2.310425,1.313781,1.039566,6.328931,0.9059494,24.88276,20.66791,7.501139,14.31126
152,0.1003474,0.06857874,2.299941,1.311886,1.050384,6.61844,0.8987474,26.80757,15.45597,4.165919,10.97086
153,0.1004096,0.06864284,2.290528,1.310898,1.056427,6.780769,0.8938804,27.4992,9.471515,5.860112,7.587581
154,0.1004747,0.06872836,2.283461,1.31109,1.053986,6.70223,0.8954939,26.58719,7.372642,10.62563,6.329267
155,0.1005513,0.06884371,2.278187,1.312043,1.047272,6.474575,0.9030791,24.90504,9.389671,16.85448,7.592155
156,0.1006394,0.06896105,2.273069,1.312885,1.042385,6.26359,0.913004,23.70075,14.54761,19.10529,10.91836
157,0.1007239,0.06905612,2.26467,1.311785,1.043348,6.239854,0.9173312,24.02914,19.63983,13.58181,13.87818
158,0.100797,0.06911937,2.253771,1.30939,1.051605,6.451096,0.9133008,25.72308,21.15293,4.622037,13.86238
159,0.1008576,0.06916671,2.242108,1.307116,1.063831,6.787712,0.9057161,27.46258,13.64259,3.883776,9.762659
160,0.1009122,0.06922022,2.231511,1.305886,1.067544,6.906095,0.9009647,27.65916,8.040552,6.4729,6.812513
161,0.1009728,0.06929284,2.223041,1.305852,1.06233,6.76473,0.9024543,26.36167,7.092265,11.58799,6.151067
162,0.1010512,0.06938749,2.216361,1.306723,1.055008,6.49728,0.9106319,24.53312,10.04091,18.35169,7.938142
